iter	Passed	Remaining
0	47	47662
1	90	45322
2	135	44984
3	177	44306
4	221	44012
5	262	43561
6	305	43394
7	349	43281
8	391	43121
9	434	42993
10	475	42769
11	519	42753
12	565	42964
13	612	43124
14	657	43155
15	702	43190
16	746	43182
17	788	43032
18	831	42948
19	876	42941
20	918	42842
21	960	42692
22	1003	42615
23	1044	42474
24	1086	42367
25	1129	42300
26	1170	42190
27	1211	42051
28	1251	41905
29	1295	41897
30	1340	41895
31	1379	41734
32	1416	41522
33	1456	41383
34	1500	41378
35	1543	41321
36	1582	41184
37	1623	41097
38	1666	41058
39	1709	41020
40	1752	40985
41	1796	40971
42	1833	40813
43	1870	40651
44	1915	40644
45	1964	40746
46	2009	40753
47	2053	40718
48	2099	40749
49	2143	40722
50	2185	40659
51	2223	40536
52	2264	40462
53	2309	40467
54	2348	40356
55	2390	40295
56	2432	40245
57	2472	40159
58	2514	40110
59	2557	40068
60	2602	40069
61	2646	40035
62	2687	39967
63	2734	39987
64	2778	39966
65	2818	39891
66	2859	39812
67	2901	39763
68	2944	39735
69	2994	39784
70	3040	39784
71	3081	39717
72	3123	39665
73	3165	39608
74	3204	39527
75	3246	39474
76	3286	39394
77	3338	39461
78	3385	39467
79	3429	39436
80	3469	39361
81	3508	39272
82	3549	39218
83	3590	39153
84	3633	39113
85	3674	39049
86	3716	38997
87	3762	38989
88	3812	39024
89	3857	38999
90	3899	38947
91	3939	38881
92	3978	38797
93	4019	38740
94	4060	38680
95	4102	38627
96	4149	38626
97	4212	38772
98	4254	38724
99	4294	38647
100	4336	38600
101	4377	38541
102	4418	38477
103	4459	38420
104	4504	38396
105	4548	38363
106	4589	38303
107	4631	38253
108	4672	38197
109	4716	38163
110	4755	38083
111	4800	38058
112	4845	38032
113	4887	37986
114	4928	37928
115	4969	37874
116	5011	37821
117	5055	37785
118	5094	37712
119	5134	37651
120	5183	37654
121	5231	37650
122	5276	37624
123	5320	37586
124	5362	37535
125	5402	37476
126	5441	37404
127	5481	37343
128	5527	37323
129	5574	37303
130	5621	37290
131	5662	37233
132	5702	37174
133	5741	37107
134	5779	37033
135	5819	36970
136	5858	36902
137	5903	36874
138	5950	36860
139	6001	36867
140	6045	36828
141	6083	36758
142	6124	36704
143	6164	36644
144	6205	36592
145	6246	36539
146	6290	36503
147	6330	36444
148	6371	36391
149	6411	36332
150	6450	36270
151	6493	36225
152	6534	36172
153	6576	36129
154	6616	36067
155	6659	36029
156	6700	35979
157	6740	35922
158	6781	35868
159	6821	35815
160	6865	35774
161	6912	35758
162	6961	35745
163	7007	35720
164	7047	35665
165	7092	35634
166	7133	35583
167	7172	35521
168	7210	35455
169	7249	35395
170	7297	35377
171	7350	35385
172	7393	35342
173	7433	35288
174	7474	35235
175	7514	35182
176	7555	35130
177	7596	35082
178	7637	35030
179	7680	34989
180	7719	34930
181	7761	34886
182	7802	34834
183	7845	34793
184	7886	34742
185	7928	34697
186	7974	34668
187	8015	34619
188	8056	34572
189	8098	34523
190	8136	34464
191	8173	34396
192	8221	34375
193	8269	34357
194	8311	34312
195	8353	34266
196	8393	34215
197	8434	34165
198	8478	34127
199	8533	34132
200	8573	34082
201	8616	34039
202	8656	33987
203	8696	33932
204	8736	33880
205	8775	33824
206	8816	33777
207	8856	33721
208	8899	33682
209	8942	33639
210	8986	33605
211	9039	33601
212	9080	33552
213	9120	33497
214	9158	33439
215	9196	33378
216	9236	33326
217	9276	33277
218	9317	33229
219	9360	33187
220	9402	33144
221	9442	33092
222	9483	33042
223	9522	32989
224	9565	32946
225	9604	32893
226	9647	32851
227	9689	32809
228	9735	32777
229	9776	32728
230	9815	32674
231	9854	32621
232	9893	32567
233	9932	32514
234	9975	32471
235	10014	32418
236	10055	32373
237	10096	32324
238	10135	32271
239	10175	32222
240	10220	32187
241	10263	32148
242	10305	32105
243	10348	32064
244	10389	32015
245	10430	31970
246	10475	31936
247	10516	31887
248	10561	31854
249	10602	31807
250	10648	31776
251	10692	31737
252	10737	31704
253	10786	31680
254	10834	31654
255	10878	31615
256	10920	31572
257	10956	31511
258	10994	31454
259	11034	31405
260	11074	31357
261	11114	31306
262	11156	31263
263	11196	31215
264	11237	31168
265	11277	31118
266	11318	31071
267	11358	31024
268	11399	30976
269	11439	30930
270	11482	30888
271	11521	30836
272	11562	30789
273	11602	30742
274	11644	30698
275	11684	30650
276	11730	30619
277	11781	30597
278	11831	30576
279	11873	30532
280	11913	30482
281	11951	30430
282	12001	30405
283	12044	30365
284	12082	30313
285	12124	30268
286	12172	30240
287	12218	30205
288	12260	30163
289	12308	30133
290	12341	30070
291	12375	30007
292	12412	29950
293	12448	29894
294	12484	29834
295	12524	29788
296	12566	29744
297	12605	29695
298	12645	29647
299	12714	29667
300	12762	29637
301	12802	29589
302	12844	29545
303	12881	29492
304	12924	29450
305	12966	29406
306	13006	29361
307	13050	29320
308	13098	29291
309	13145	29259
310	13187	29216
311	13230	29174
312	13270	29126
313	13310	29080
314	13351	29034
315	13391	28986
316	13432	28941
317	13474	28899
318	13516	28855
319	13555	28804
320	13595	28759
321	13637	28714
322	13678	28669
323	13717	28621
324	13758	28575
325	13799	28529
326	13840	28484
327	13882	28442
328	13928	28407
329	13972	28368
330	14011	28318
331	14050	28269
332	14089	28220
333	14132	28180
334	14177	28142
335	14219	28100
336	14259	28053
337	14300	28008
338	14341	27964
339	14384	27922
340	14423	27874
341	14463	27826
342	14505	27783
343	14544	27735
344	14586	27692
345	14628	27651
346	14668	27603
347	14710	27561
348	14749	27512
349	14790	27468
350	14832	27426
351	14878	27390
352	14924	27355
353	14967	27312
354	15009	27271
355	15053	27232
356	15097	27192
357	15139	27149
358	15181	27107
359	15228	27072
360	15272	27033
361	15319	27000
362	15365	26964
363	15407	26921
364	15448	26876
365	15489	26831
366	15532	26791
367	15576	26750
368	15613	26698
369	15653	26653
370	15694	26608
371	15738	26568
372	15779	26525
373	15820	26480
374	15862	26436
375	15926	26431
376	15973	26396
377	16014	26352
378	16056	26309
379	16096	26262
380	16141	26224
381	16186	26185
382	16239	26161
383	16287	26127
384	16333	26091
385	16374	26046
386	16417	26005
387	16457	25958
388	16499	25915
389	16542	25874
390	16586	25833
391	16645	25817
392	16689	25777
393	16733	25737
394	16773	25691
395	16813	25644
396	16852	25597
397	16894	25553
398	16938	25513
399	16988	25483
400	17033	25443
401	17072	25395
402	17113	25352
403	17154	25306
404	17194	25260
405	17232	25211
406	17273	25167
407	17316	25126
408	17360	25085
409	17406	25048
410	17451	25009
411	17493	24966
412	17534	24921
413	17571	24871
414	17612	24827
415	17653	24782
416	17694	24738
417	17745	24708
418	17789	24667
419	17829	24621
420	17870	24577
421	17913	24536
422	17955	24492
423	17995	24446
424	18033	24398
425	18077	24358
426	18126	24324
427	18172	24286
428	18214	24244
429	18258	24202
430	18298	24156
431	18340	24113
432	18378	24066
433	18417	24018
434	18457	23973
435	18502	23934
436	18550	23899
437	18596	23860
438	18646	23828
439	18689	23786
440	18731	23743
441	18773	23700
442	18813	23654
443	18845	23598
444	18886	23555
445	18926	23510
446	18971	23470
447	19014	23428
448	19076	23410
449	19120	23369
450	19154	23316
451	19190	23266
452	19231	23222
453	19273	23179
454	19313	23134
455	19356	23091
456	19395	23045
457	19440	23006
458	19488	22970
459	19534	22931
460	19577	22889
461	19617	22844
462	19659	22801
463	19698	22754
464	19736	22707
465	19776	22661
466	19817	22618
467	19859	22575
468	19904	22536
469	19950	22496
470	19992	22454
471	20032	22409
472	20073	22365
473	20116	22323
474	20156	22278
475	20199	22236
476	20244	22196
477	20295	22163
478	20337	22120
479	20379	22077
480	20421	22035
481	20463	21991
482	20506	21949
483	20548	21907
484	20590	21863
485	20632	21821
486	20674	21777
487	20716	21735
488	20757	21691
489	20800	21649
490	20842	21606
491	20885	21564
492	20926	21521
493	20970	21480
494	21015	21439
495	21059	21399
496	21098	21353
497	21147	21316
498	21190	21275
499	21234	21234
500	21275	21190
501	21315	21145
502	21355	21100
503	21395	21056
504	21436	21011
505	21476	20967
506	21515	20921
507	21561	20882
508	21601	20837
509	21641	20792
510	21681	20748
511	21723	20704
512	21764	20661
513	21807	20619
514	21846	20573
515	21885	20528
516	21925	20483
517	21964	20438
518	22006	20394
519	22046	20350
520	22087	20307
521	22126	20261
522	22167	20217
523	22207	20172
524	22248	20129
525	22287	20084
526	22329	20041
527	22371	19998
528	22413	19956
529	22473	19929
530	22516	19887
531	22557	19844
532	22598	19800
533	22639	19756
534	22680	19713
535	22721	19668
536	22762	19625
537	22801	19580
538	22843	19538
539	22887	19496
540	22932	19456
541	22973	19412
542	23008	19364
543	23045	19317
544	23080	19269
545	23116	19221
546	23151	19173
547	23190	19127
548	23235	19087
549	23284	19050
550	23327	19009
551	23368	18965
552	23408	18921
553	23450	18879
554	23492	18836
555	23534	18793
556	23575	18750
557	23617	18707
558	23658	18664
559	23705	18625
560	23751	18586
561	23793	18543
562	23833	18499
563	23872	18454
564	23916	18413
565	23959	18371
566	24002	18330
567	24048	18290
568	24091	18248
569	24137	18208
570	24178	18165
571	24215	18119
572	24256	18075
573	24297	18032
574	24337	17988
575	24378	17945
576	24421	17903
577	24463	17860
578	24505	17818
579	24549	17777
580	24597	17738
581	24638	17695
582	24677	17650
583	24715	17605
584	24752	17559
585	24793	17516
586	24834	17473
587	24876	17430
588	24913	17384
589	24955	17341
590	24996	17298
591	25039	17256
592	25083	17215
593	25124	17172
594	25166	17130
595	25208	17087
596	25250	17045
597	25286	16998
598	25324	16953
599	25365	16910
600	25405	16866
601	25447	16824
602	25489	16781
603	25530	16738
604	25571	16695
605	25612	16652
606	25651	16607
607	25688	16562
608	25729	16519
609	25764	16472
610	25808	16431
611	25846	16386
612	25888	16343
613	25926	16298
614	25965	16254
615	26006	16211
616	26046	16168
617	26080	16120
618	26122	16078
619	26165	16036
620	26208	15995
621	26251	15953
622	26294	15911
623	26341	15872
624	26387	15832
625	26436	15794
626	26478	15751
627	26520	15709
628	26561	15666
629	26603	15624
630	26645	15581
631	26684	15537
632	26724	15494
633	26766	15452
634	26808	15409
635	26849	15366
636	26891	15324
637	26938	15284
638	26984	15244
639	27026	15202
640	27066	15158
641	27105	15115
642	27140	15068
643	27178	15024
644	27216	14979
645	27259	14938
646	27303	14896
647	27347	14855
648	27390	14813
649	27434	14772
650	27473	14728
651	27516	14686
652	27558	14644
653	27596	14600
654	27638	14557
655	27680	14515
656	27720	14472
657	27761	14429
658	27802	14386
659	27844	14343
660	27881	14299
661	27924	14257
662	27966	14215
663	28006	14172
664	28047	14129
665	28088	14086
666	28128	14043
667	28170	14001
668	28210	13957
669	28250	13914
670	28291	13871
671	28333	13829
672	28373	13786
673	28413	13743
674	28455	13700
675	28495	13657
676	28537	13615
677	28577	13571
678	28619	13529
679	28661	13487
680	28700	13444
681	28743	13402
682	28784	13359
683	28826	13317
684	28867	13274
685	28911	13233
686	28959	13194
687	29002	13152
688	29043	13109
689	29085	13067
690	29125	13024
691	29165	12981
692	29205	12938
693	29247	12895
694	29288	12853
695	29337	12814
696	29377	12770
697	29418	12728
698	29461	12686
699	29507	12645
700	29549	12604
701	29590	12561
702	29629	12517
703	29672	12475
704	29716	12434
705	29755	12391
706	29796	12348
707	29838	12306
708	29877	12262
709	29919	12220
710	29957	12176
711	29997	12133
712	30041	12092
713	30084	12050
714	30127	12008
715	30168	11966
716	30208	11923
717	30252	11882
718	30295	11839
719	30334	11796
720	30374	11753
721	30415	11711
722	30457	11669
723	30498	11626
724	30538	11583
725	30579	11540
726	30620	11498
727	30659	11455
728	30699	11412
729	30740	11369
730	30779	11326
731	30818	11283
732	30860	11241
733	30900	11198
734	30939	11154
735	30979	11112
736	31020	11069
737	31061	11027
738	31101	10984
739	31140	10941
740	31179	10898
741	31219	10855
742	31260	10813
743	31295	10768
744	31334	10725
745	31373	10682
746	31411	10638
747	31449	10595
748	31488	10552
749	31526	10508
750	31565	10465
751	31604	10422
752	31646	10380
753	31688	10338
754	31729	10296
755	31772	10254
756	31812	10211
757	31854	10169
758	31897	10128
759	31938	10085
760	31979	10043
761	32021	10001
762	32063	9959
763	32105	9917
764	32146	9875
765	32185	9832
766	32225	9789
767	32267	9747
768	32308	9705
769	32349	9662
770	32390	9620
771	32431	9578
772	32470	9535
773	32509	9492
774	32550	9450
775	32592	9408
776	32633	9365
777	32674	9323
778	32717	9281
779	32757	9239
780	32793	9195
781	32833	9152
782	32873	9110
783	32914	9068
784	32950	9024
785	32988	8981
786	33026	8938
787	33067	8896
788	33105	8853
789	33144	8810
790	33179	8766
791	33218	8724
792	33257	8681
793	33298	8639
794	33339	8596
795	33381	8554
796	33422	8512
797	33465	8471
798	33507	8429
799	33547	8386
800	33584	8343
801	33620	8300
802	33663	8258
803	33703	8216
804	33740	8173
805	33781	8130
806	33820	8088
807	33862	8046
808	33904	8004
809	33946	7962
810	33988	7920
811	34024	7877
812	34065	7835
813	34107	7793
814	34143	7750
815	34186	7708
816	34227	7666
817	34267	7624
818	34311	7582
819	34353	7541
820	34395	7499
821	34437	7457
822	34476	7414
823	34514	7371
824	34552	7329
825	34593	7287
826	34630	7244
827	34670	7202
828	34705	7158
829	34739	7115
830	34776	7072
831	34814	7029
832	34853	6987
833	34891	6944
834	34929	6902
835	34968	6859
836	35005	6817
837	35042	6774
838	35084	6732
839	35123	6690
840	35160	6647
841	35194	6604
842	35227	6560
843	35262	6517
844	35299	6475
845	35337	6432
846	35375	6390
847	35417	6348
848	35459	6306
849	35501	6265
850	35537	6222
851	35576	6179
852	35613	6137
853	35653	6095
854	35689	6052
855	35725	6009
856	35766	5968
857	35801	5925
858	35839	5882
859	35877	5840
860	35914	5798
861	35951	5755
862	35988	5713
863	36025	5670
864	36063	5628
865	36101	5586
866	36138	5543
867	36176	5501
868	36214	5459
869	36258	5417
870	36297	5375
871	36339	5334
872	36380	5292
873	36420	5250
874	36459	5208
875	36497	5166
876	36534	5124
877	36575	5082
878	36615	5040
879	36653	4998
880	36693	4956
881	36733	4914
882	36772	4872
883	36809	4830
884	36849	4788
885	36881	4745
886	36915	4702
887	36953	4660
888	36996	4619
889	37038	4577
890	37080	4536
891	37119	4494
892	37152	4451
893	37189	4409
894	37224	4367
895	37266	4325
896	37310	4284
897	37349	4242
898	37390	4200
899	37429	4158
900	37482	4118
901	37531	4077
902	37585	4037
903	37636	3996
904	37678	3955
905	37720	3913
906	37764	3872
907	37805	3830
908	37847	3788
909	37894	3747
910	37937	3706
911	37976	3664
912	38018	3622
913	38055	3580
914	38100	3539
915	38141	3497
916	38184	3456
917	38227	3414
918	38267	3372
919	38305	3330
920	38345	3289
921	38385	3247
922	38424	3205
923	38465	3163
924	38508	3122
925	38552	3080
926	38595	3039
927	38632	2997
928	38671	2955
929	38714	2914
930	38759	2872
931	38796	2830
932	38837	2788
933	38874	2746
934	38916	2705
935	38954	2663
936	38994	2621
937	39034	2580
938	39079	2538
939	39121	2497
940	39162	2455
941	39201	2413
942	39253	2372
943	39305	2331
944	39351	2290
945	39403	2249
946	39441	2207
947	39479	2165
948	39519	2123
949	39557	2081
950	39605	2040
951	39647	1999
952	39688	1957
953	39731	1915
954	39772	1874
955	39814	1832
956	39853	1790
957	39889	1748
958	39926	1706
959	39968	1665
960	40015	1623
961	40060	1582
962	40097	1540
963	40133	1498
964	40171	1456
965	40206	1415
966	40244	1373
967	40285	1331
968	40327	1290
969	40366	1248
970	40405	1206
971	40444	1165
972	40481	1123
973	40521	1081
974	40561	1040
975	40602	998
976	40643	956
977	40682	915
978	40721	873
979	40761	831
980	40803	790
981	40843	748
982	40883	707
983	40922	665
984	40962	623
985	41002	582
986	41043	540
987	41082	498
988	41123	457
989	41165	415
990	41205	374
991	41247	332
992	41289	291
993	41333	249
994	41378	207
995	41425	166
996	41465	124
997	41511	83
998	41564	41
999	41612	0
