model,sampling,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
Dummy Most Frequent,SMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,ADASYN,0.9866459599508197,0.9868860405844105,0.9822474913353657,0.9825657139527089,0.991083998122947,0.9912445278298937
Dummy Most Frequent,BorderlineSMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,RandomUnderSampler,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTEENN,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTETomek,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Stratified,SMOTE,0.6605836856366029,0.689606994833987,0.9812864455968476,0.9809181209419716,0.5016424213984044,0.5347091932457786
Dummy Stratified,ADASYN,0.6623403742069832,0.6373222936820182,0.9828553570410327,0.984799672621745,0.5039887376818395,0.47654784240150094
Dummy Stratified,BorderlineSMOTE,0.6585681508381261,0.6578707543044294,0.980933674925654,0.9789288125195458,0.4992961051149695,0.4978111319574734
Dummy Stratified,RandomUnderSampler,0.6607545826410454,0.6495195226363324,0.9831332370196274,0.9811942452138258,0.502268105740654,0.4890556597873671
Dummy Stratified,SMOTEENN,0.6574015386201986,0.6324203683602508,0.9818327230956947,0.9834077295973476,0.49820115751603317,0.4709193245778612
Dummy Stratified,SMOTETomek,0.6598911095259188,0.6523589594725808,0.9812709604988882,0.9837639304167558,0.5008603159705929,0.49280800500312694
Dummy Uniform,SMOTE,0.6547960149752526,0.6651924054055289,0.9849012317498035,0.9864356096334769,0.4960112623181605,0.5078173858661664
Dummy Uniform,ADASYN,0.6522405570384222,0.6540406623198315,0.982348446367427,0.9837930204288774,0.49256999843578914,0.49468417761100686
Dummy Uniform,BorderlineSMOTE,0.6570487553420313,0.6612362147610744,0.9815160151531124,0.9814598127929022,0.49773189425934616,0.5021888680425265
Dummy Uniform,RandomUnderSampler,0.6661859816193313,0.6640888855975662,0.9823199092312854,0.9864230947402297,0.5082121069920226,0.5065666041275797
Dummy Uniform,SMOTEENN,0.6493479026938905,0.654600287167073,0.981345505731795,0.9838026690669712,0.4891287345534178,0.49530956848030017
Dummy Uniform,SMOTETomek,0.6330292274603211,0.6687924108455195,0.9826048411330187,0.9876999997099435,0.47160957297043643,0.5121951219512194
