model,sampling,training_time,f1,precision,recall,roc_auc,model_object
Logistic Regression,ADASYN,0.8503420352935791,0.9401181994353679,0.99047986217852,0.900562851782364,0.945606128886886,"Pipeline(steps=[('sampling', ADASYN(random_state=42)),
                ('model', LogisticRegression(max_iter=1000, random_state=42))])"
Random Forest,ADASYN,13.159858703613281,0.9927111945753992,0.9924467261353667,0.9931207004377736,0.9739071653898153,"Pipeline(steps=[('sampling', ADASYN(random_state=42)),
                ('model', RandomForestClassifier(random_state=42))])"
Gradient Boosting,RandomUnderSampler,0.38596224784851074,0.9087445301560552,0.9917159763313609,0.8461538461538461,0.9413699864803966,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', GradientBoostingClassifier(random_state=42))])"
SVM,SMOTE,35.7312114238739,0.9337848561084372,0.991143745770973,0.8893058161350844,0.9653447498873365,"Pipeline(steps=[('sampling', SMOTE(random_state=42)),
                ('model', SVC(probability=True, random_state=42))])"
Decision Tree,RandomUnderSampler,0.02530217170715332,0.9287820963028037,0.9910951625419971,0.8805503439649781,0.9043488057683641,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', DecisionTreeClassifier(random_state=42))])"
XGBoost,ADASYN,0.5625631809234619,0.9917206435808708,0.9915840369966411,0.991869918699187,0.9717890941865706,"Pipeline(steps=[('sampling', ADASYN(random_state=42)),
                ('model',
                 XGBClassifier(base_score=None, booster=None, callbacks=None,
                               colsample_bylevel=None, colsample_bynode=None,
                               colsample_bytree=None, device=None,
                               early_stopping_rounds=None,
                               enable_categorical=False, eval_metric=None,
                               feature_types=None, feature_weights=None,
                               gamma=None, grow_policy=None,
                               importance_type=None,
                               interaction_constraints=None, learning_rate=None,
                               max_bin=None, max_cat_threshold=None,
                               max_cat_to_onehot=None, max_delta_step=None,
                               max_depth=None, max_leaves=None,
                               min_child_weight=None, missing=nan,
                               monotone_constraints=None, multi_strategy=None,
                               n_estimators=None, n_jobs=None,
                               num_parallel_tree=None, ...))])"
CatBoost,ADASYN,43.44794011116028,0.9885839540617921,0.9899145721617494,0.9874921826141339,0.9662911221270842,"Pipeline(steps=[('sampling', ADASYN(random_state=42)),
                ('model',
                 <catboost.core.CatBoostClassifier object at 0x000001EDEFC75D50>)])"
AdaBoost,RandomUnderSampler,0.2245652675628662,0.9215867333503948,0.9917893127649225,0.868042526579112,0.9447273546642632,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', AdaBoostClassifier(random_state=42))])"
Extra Trees,RandomUnderSampler,0.21631121635437012,0.9201323825657208,0.9917797968708608,0.8655409631019387,0.97803064443443,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', ExtraTreesClassifier(random_state=42))])"
Bagging,RandomUnderSampler,0.06383967399597168,0.9001551791338325,0.9916776607287682,0.8317698561601,0.9503154574132492,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', BaggingClassifier(random_state=42))])"
Hist Gradient Boosting,SMOTE,5.226170539855957,0.9912445278298937,0.9912445278298937,0.9912445278298937,0.9711581793600721,"Pipeline(steps=[('sampling', SMOTE(random_state=42)),
                ('model', HistGradientBoostingClassifier(random_state=42))])"
